# ./benchmagma.sh m02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
587 199 (1, 198) 0.340842564901
587 211 (5, 210) 17.245865345
587 223 (6, 74) 33.6820157369
587 227 (8, 113) 86.4973402818
587 229 (6, 57) 33.9980614185
587 233 (1, 116) 0.473734696706
587 239 (1, 119) 0.474353949229
587 241 (3, 80) 7.10035332044
587 243 (1, 162) 0.492480913798
587 251 (1, 125) 0.522547721863
593 5 (1, 4) 0.010063012441
593 7 (2, 6) 0.0362157026927
593 9 (1, 2) 0.0110236803691
593 11 (1, 2) 0.0117874145508
593 13 (1, 4) 0.0111689567566
593 17 (6, 8) 0.14075867335
593 19 (5, 9) 0.109324216843
593 23 (2, 11) 0.0585473378499
593 25 (1, 4) 0.0154407024384
593 27 (1, 2) 0.0154263178507
593 29 (1, 14) 0.015532652537
593 31 (5, 5) 0.256049394608
593 37 (4, 1) 0.267337640127
593 41 (1, 40) 0.0214076042175
593 43 (4, 42) 0.309715191523
593 47 (2, 46) 0.0865410963694
593 49 (4, 42) 0.409054994583
593 53 (2, 13) 0.10524725914
593 59 (3, 29) 0.317816257477
593 61 (1, 60) 0.0372717380524
593 67 (2, 66) 0.164224386215
593 71 (8, 5) 5.69543766975
593 73 (4, 6) 0.972412665685
593 79 (4, 39) 1.10357443492
593 81 (5, 6) 1.89243213336
593 83 (2, 41) 0.240631421407
593 89 (1, 88) 0.0674409866333
593 97 (4, 48) 2.03896959623
593 101 (6, 25) 5.10985096296
593 103 (6, 102) 5.3647023042
593 107 (1, 106) 0.101490259171
593 109 (10, 27) 20.8243353367
593 113 (1, 7) 0.124126354853
593 121 (6, 22) 8.60700511932
593 125 (3, 20) 2.12368520101
593 127 (2, 126) 0.991691350937
593 131 (2, 26) 0.775600035985
593 137 (2, 136) 0.95277094841
593 139 (1, 69) 0.18425265948
593 149 (8, 148) 32.5307429632
593 151 (1, 150) 0.178643385569
593 157 (2, 78) 1.145819664
593 163 (1, 3) 0.251046339671
593 167 (7, 166) 29.3744189739
593 169 (2, 52) 1.66030430794
593 173 (1, 172) 0.33523829778
593 179 (2, 89) 1.95321297646
593 181 (2, 180) 2.13082758586
593 191 (2, 95) 2.19007142385
593 193 (4, 32) 11.2658822536
593 197 (18, 196) 317.824903488
593 199 (4, 198) 10.4801143805
593 211 (5, 7) 19.5462487539
593 223 (6, 222) 38.5079410076
593 227 (8, 113) 108.934723616
593 229 (4, 6) 18.3056677183
593 233 (2, 232) 3.7032892704
